author,music,lyrics
Drake,God's Plan,"And they wishin' and wishin'And wishin' and wishin', they wishin' on meYeahI been movin' calm, don't start no trouble with meTryna keep it peaceful is a struggle for meDon't pull up at 6 AM to cuddle with meYou know how I like it when you lovin' on meI don't wanna die for them to miss meYes, I see the things that they wishin' on meHope I got some brothers that outlive meThey gon' tell the story, shit was different with meGod's planGod's planI hold back, sometimes I won't (yeah)I feel good, sometimes I don't (ayy, don't)I finessed down Weston Road (ayy, 'nessed)Might go down a G-O-D (yeah, wait)I go hard on Southside G (yeah, wait)I make sure that Northside eatAnd stillBad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin', they wishin' on meBad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin', they wishin' on meYeahAyy, ayyShe say: Do you love me? I tell her: Only partlyI only love my bed and my mama, I'm sorryFifty Dub, I even got it tatted on meEighty-one, they'll bring the crashers to the partyAnd you know meTurn the O2 into the O3, dogWithout 40, Oli, there'd be no me'Magine if I never met the broskiesGod's planGod's planI can't do this on my own, ayy (no, ayy)Someone watchin' this shit close (yep, close)I've been me since Scarlett Road, ayy (road, ayy)Might go down as G-O-D (yeah, wait, yeah)I go hard on Southside G (ayy, wait, ayy)I make sure that Northside eat, yeahAnd stillBad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin', they wishin' on meYeah, yeahBad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin', they wishin' on meYeah"
Nívea Soares,Que Se Abram Os Céus,"Tu és bem-vindo aquiE em nosso coraçãoToma a direçãoDeus, fogo consumidorSem impedimentos, vemFace a face, SenhorSopra em nósEspíritoTe queremos, DeusEstou de péNa presença do ReiSua glória está aquiTeu amor liberta-meEstás aquiNo trono de louvorTua presença me curouFascinado estouSopra em nósEspíritoTe queremos, DeusSopra em nósEspíritoTe queremos, DeusSopra em nósEspíritoTe queremos, DeusÔ, ô, úh!Te queremos, DeusÔ, ô, úh!Temos sede de Ti, SenhorQue se abram os céusO Teu reino vemNossa fé está no nosso DeusQue se abram os céusO Teu reino vemNossa fé está no nosso DeusQue se abram os céus (que os céus fechados se abram)O Teu reino vem (Teu reino venha mover)Nossa fé está (a nossa fé e esperança)No nosso Deus (estão em Deus, grande Deus)Que se abram os céus (que os céus fechados, se abram)O Teu reino vem (Teu reino venha mover)Nossa fé está (a nossa fé e esperança)No nosso Deus (estão em Deus, grande Deus)Que os céus fechados se abramTeu reino venha moverA nossa fé e esperançaEstão em DeusGrande Deus!"
Harpa Cristã,Qual o Preço do Perdão?,Qual o preço do perdão?Só o sangue de Jesus CristoO que limpa o coração?Só o sangue de Jesus CristoQual o poder realQue limpa todo o malE dá paz divinal?Só o sangue de Jesus CristoFez resgate eficazSó o sangue de Jesus CristoDeu-nos santidade e pazSó o sangue de Jesus CristoQual o poder realQue limpa todo o malE dá paz divinal?Só o sangue de Jesus CristoSempre pode me curarSó o sangue de Jesus CristoE do mal me libertarSó o sangue de Jesus CristoQual o poder realQue limpa todo o malE dá paz divinal?Só o sangue de Jesus CristoLá no céu eu vou cantarSó o sangue de Jesus CristoDeu-me graça para entrarSó o sangue de Jesus CristoQual o poder realQue limpa todo o malE dá paz divinal?Só o sangue de Jesus Cristo
Fernandinho,Uma Nova História,"Sai de tua tenda, oh, filho MeuE te mostrarei as estrelas do céuSai de tua tenda, oh, filho MeuTe mostrarei a areia do marSerá que podes contar?Será que podes imaginarTudo aquilo que sonhei para ti, filho Meu?O que Minhas mãos fizeram para ti, filho Meu?Minha bênção será sobre tiUma nova história, Deus tem pra mimUm novo tempo, Deus tem pra mimE tudo aquilo que perdido foiOuvirei de sua boca, te abençoareiSai de tua tenda, oh, filho MeuE te mostrarei as estrelas do céuSerá que podes contar?Será que podes imaginarTudo aquilo que sonhei para ti, filho Meu?O que Minhas mãos fizeram para ti, filho Meu?Minha bênção será sobre tiUma nova história, Deus tem pra mimUm novo tempo, Deus tem pra mimE tudo aquilo que perdido foiOuvirei de sua boca, te abençoareiUma nova história, Deus tem pra mimUm novo tempo, Deus tem pra mimE tudo aquilo que perdido foiOuvirei de sua boca, te abençoarei"
Alisson e Neide,Sinceridade,"Deus, Tu conhece meu interiorE também vê toda minha dorTô ansioso, DeusDeus, meu coração está aceleradoE quase todo dia ele fica angustiadoMe socorre, DeusDeus, Tu disse que na minha vida ia cumprirEu não consigo nem me levantar daqui, oh, meu SenhorDeus, Tu disse que do outro lado eu ia cantarMas com essa dor eu não consigo nem me movimentarMe socorre, DeusEu estou apavorado, eu estou desesperadoE vim aqui pra gente conversarHoje eu vim aqui pra dizer pra TiVem me ajudar, do chão vem me tirarEu estou desacreditadoEu estou desesperadoSó sinto vontade de morrerVem me socorrerE hoje eu vim aqui pra dizer toda a verdadeMeu coração não tem mais féEu não consigo nem ficar de péEu te magoei até, Te entristeciMas mesmo desse jeito eu me rendoE hoje eu vim aqui pra dizer o que eu estou sentindoA minha mente está se dividindoMeu coração está partidoEstende a Tua mão enquanto eu estiver em adoraçãoPois só Te adorando é que eu me sinto felizFilho meuPor que Teu coração está batendo forte assim?Ainda tá dizendo que não vai conseguirEu sou o Teu amigo, filhoFilho meuDe todas as promessas que Eu fiz pra tiTodas elas no Meu tempo irão se cumprirEu sou o Teu amigo, filhoFilho meuTu lembra quando Eu disse para AbraãoEu vou fazer de ti uma grande naçãoPorventura Eu não cumpri?Filho meuTu lembra quando Eu disse para JoséEu vou te exaltar por causa da tua fé, governadorPorventura Eu não cumpri?Tem que me adorar, Meu filhoEm vez de reclamar tem que adorar, Meu filhoEm vez de murmurar tem que adorar, Meu filhoPra minha mão se movimentarTu tem que parar, parar de reclamarE tem que me adorar em qualquer situaçãoNa fornalha Eu te coloquei foi para te provarNão adianta se espernear, isso comigo não vai funcionarO mundo não gira em volta de ti, Tu tem que respeitar a mimFoi Eu que te criei e lá na cruz do calvário as tuas feridas Eu cureiEu vou te lapidar até tu no ponto ficarPra quando Eu te exaltarO teu nariz não se esquecer e querer empinarSe tu ficar a reclamarDessa prova eu não vou te tirarSó vai ficar rodando no deserto reclamandoMas se tu se dispuserEm qualquer momento, tu me adorarNum piscar de olhos esse vento vai passarTu me adora e Eu visito a tua casaTu me adora e Eu visito tua famíliaTu me adora e Eu visito tua saúdeTu me adora e ninguém mais te humilhaTu me adora e Eu expulso os demôniosTu me adora e Eu desfaço todo laçoTu me adora e Eu envio Miguel para lutar por tiPorque Eu sou dono do céuTu me adora e Eu visito a tua casaTu me adora e Eu visito tua famíliaTu me adora e Eu visito tua saúdeTu me adora e ninguém mais te humilhaTu me adora e Eu expulso os demôniosTu me adora e Eu desfaço todo laçoTu me adora e Eu envio Miguel para lutar por tiPorque Eu sou dono do céuMas tem que me adorar, parar de reclamarSó me engrandecer, para a vitória aparecerMas se tu se dispuserEm qualquer momento tu me adorarNum piscar de olhos esse vento vai passar"
Kleber Lucas,Aos Pés Da Cruz,"Meu Jesus, maravilhoso ésMinha inspiração a prosseguirE mesmo quando tudo não vai bemEu continuo olhando para TiPois sei que Tu tens o melhor pra mimHá um segredo no Teu coraçãoÓ, dá-me forças pra continuarGuardando a promessa em oraçãoFirme, ó, Deus, está o meu coraçãoFirme nas promessas do SenhorEu continuo olhando para TiE assim eu sei que posso prosseguirE mesmo quando eu chorarAs minhas lágrimas serãoPara regar a minha féE consolar meu coraçãoPois o que chora aos pés da cruzClamando em nome de JesusAlcançará de Ti, SenhorMisericórdia, graça e luzTeu grande amor não cessaEterno, não tem fimQuão grande és Tu, SenhorQuão grande és pra mimTua graça é o meu refúgioDescanso no Teu poderMaravilhoso és, maravilhoso és pra mimFirme, ó, Deus, está o meu coraçãoFirme nas promessas do SenhorEu continuo olhando para TiE assim eu sei que posso prosseguirE mesmo quando eu chorarAs minhas lágrimas serãoPara regar a minha féE consolar meu coraçãoPois o que chora aos pés da cruzClamando em nome de JesusAlcançará de Ti, SenhorMisericórdia, graça e luzE mesmo quando eu chorarAs minhas lágrimas serãoPara regar a minha féE consolar meu coraçãoPois o que chora aos pés da cruzClamando em nome de JesusAlcançará de Ti, SenhorMisericórdia, graça e luzMisericórdia, graça e luzMisericórdia, graça e luz"
Julia Vitória,Além do Rio Azul,"Além do rio azulAs ruas são de ouro e de cristaisAli tudo é vida, ali tudo é pazMorte e choro, nunca maisTristeza e dor, nunca maisVerei o grande rio da vidaClaro como o cristalVerei a face do meu mestre queridoNão haverá mais noite aliNão haverá nenhum clamorVerei os olhos de JesusE tocarei Seu corpo enfimNão, não haverá mais noite aliNão haverá nenhum clamorVerei os olhos de JesusE tocarei Seu corpo enfimAs nações andarão em Sua luzE as portas jamais se fecharãoA cidade é de ouro puroDe jaspe é seu muroAlém do rio azulMorte e choro, tristeza e dorNunca mais, nunca maisMorte e choro, tristeza e dorNunca mais, nunca maisMorte e choro, tristeza e dorNunca mais, nunca maisMorte e choro, tristeza e dorNunca mais, nunca maisNão haverá mais noite aliNão haverá nenhum clamorVerei os olhos de JesusE tocarei Seu corpo enfimNão haverá mais noite aliNão haverá nenhum clamorVerei os olhos de JesusE tocarei Seu corpo enfim"
Kellen Byanca,Dono da Promessa,"Como é difícil acreditarQuando eu não posso verSerá que vai acontecer?A minha impaciência mexe com minha estruturaE ativa ansiedadeMas eu não vou deixar de crerMas é neste momento que Deus entra em cenaE o tempo deixa de ser um problema pra mimE eu desacelero e passo acreditarQue, no final de tudo, Ele vai cuidarNão existe nada que impeçaEu conheço o dono da promessaEle se mantém fiel a mimEle se mantém fielE por mais que eu tenha pressaO tempo não anula a promessa, nãoEle se mantém fiel a mimEle se mantém fiel a mimMas é neste momento que Deus entra em cenaE o tempo deixa de ser um problema pra mimE eu desacelero e passo acreditarQue, no final de tudo, Ele vai cuidarNão existe nada que impeçaEu conheço o dono da promessaEle se mantém fiel a mimEle se mantém fielE por mais que eu tenha pressaO tempo não anula a promessaEle se mantém fiel a mimEle se mantém fiel a mimFiel a mimMesmo que eu não mereça, Ele é fiel a mimFiel a mimEu não tenho por que duvidarNo Seu tempo, tudo cumpriráNão existe nada que impeçaEu conheço o dono da promessaEle se mantém fiel a mimEle se mantém fiel a mimE por mais que eu tenha pressaO tempo não anula a promessaEle se mantém fiel a mimEle se mantém fiel a mim(Ele se mantém fiel) Ele é fiel(Ele se mantém fiel) Ele é fiel(Ele se mantém fiel a mim)(Ele se mantém fiel)(Ele se mantém fiel a mim)Ele é fielPois Ele é fielNão existe nada que impeçaEu conheço o dono da promessaEle se mantém fiel a mimEle se mantém fiel a mimE por mais que eu tenha pressaO tempo não anula a promessa, nãoEle se mantém fiel a mimEle se mantém fiel a mim"
Taylor Swift,Fortnight (feat. Post Malone),"I was supposed to be sent awayBut they forgot to come and get meI was a functioning alcoholic till nobodyNoticed my new aestheticAll of this to say: I hope you're okayBut you're the reasonAnd no one here's to blameBut what about your quiet treason?And for a fortnight, there we were, foreverRun into you sometimes, ask about the weatherNow, you're in my backyard, turned into good neighborsYour wife waters flowers, I wanna kill herAll my mornings are MondaysStuck in an endless FebruaryI took the miracle move-on drugThe effects were temporaryAnd I love you, it's ruining my life (I love you, it's ruining my life)I touched you for only a fortnight (I touched you), but I touched youAnd for a fortnight, there we were, foreverRun into you sometimes, ask about the weatherNow, you're in my backyard, turned into good neighborsYour wife waters flowers, I wanna kill herAnd for a fortnight, there we were togetherRun into you sometimes, comment on my sweaterNow, you're at the mailbox, turned into good neighborsMy husband is cheating, I wanna kill himI love you, it's ruining my life (I love you, it's ruining my life)I touched you for only a fortnight (I touched you), I touched youI love you, it's ruining my life (I love you, it's ruining my life)I touched you for only a fortnight (I touched you), I touched youThought of calling ya, but you won't pick up‘Nother fortnight lost in AmericaMove to Florida, buy the car you wantBut it won't start up till you touch, touch, touch meThought of calling ya, but you won't pick up‘Nother fortnight lost in AmericaMove to Florida, buy the car you wantBut it won't start up till I touch, touch, touch you"
MC V.V,Fenda da Sunga 2 [explícita],"(Então, lindos mergulhadores sexys)Cês tão pronto, filha da puta?Pra partir de barco pra uma surubaEm alto mar com o capitãoQue televisão? É a Fenda da SungaEu não ouvi direito, filhas da puta(Estamos, capitão)Então fecha o nariz e pula, oohVive no abacaxiE abaixa aqui pra mamarBobsporra da calça gozadaFenda da sunga, nós tamo de voltaLevando na bunda, quicando na águaSandy buceta tá querendo dáEla não entende que nós só curte sentarJá meti até com o velho JenkinsDa piroca moleBeijei o fantasma do holandêsNo armário do Davy JonesMas de todos os amantes que eu já tive nesse mundoSó lembro do Smitty WerbenjägermanjensenEle era o número umVou pegar o lápis mágico que eu vou desenharVários machos igual o Larry pra eu abaixar e mamarDepois vamos todos juntos pro Balde de Lixo e láVou dar todo meu dinheiro pros peixe que rebolarA fórmula secreta o Sirigueijo quer roubarTransformar o Siricascudo num puteiro open barMal ele sabe que o Rei Netuno mandou declararQue o Balde de Lixo é o melhor pra se frequentarÉ a Fenda da Sunga que atola na bundaE faz todos os peixe virar a casacaNós fala que vai caçar água-vivaSendo que nós vai mamar nossos parçaNós sofre de viadagite agudaMas fish ball cat nunca é demaisE o nosso treino é overdose de glúteoExercitando o buraco de trásO mano Patrick e o mano BobFoi os parça que levantou isso do chãoE foi o mano Plankton que bolou o esquemaPra colocar todos dentro desse vagãoMas os parças que teve atitude de ouroDe efetuar todo esse plano insanoFoi o Homem Sereia e o MexilhãozinhoOs cara mais sunga de todo oceanoFundo do mar sabonete escorregaOs cara nem perdoa já vão pirocarFalo até mais, mostro a minha peçaPeça de carne que tu vai degustarE tu se pergunta: O que é isso?Bacanal de peixe, é um paraíso?Vários se encantam com o cheiro de pintoMas afirmo sem medo que é aqui onde vivoFenda da SungaPutaria absurdaPatrick com esse formato de péDa pra fazer perfeito um fisting na minha bundaPupu-pupunhaBob bate pupunhaMecânico safado tá de voyeurMais um dia na Fenda da SungaMais um dia na Fenda da SungaMano peixada, eu vou te falaCheiro de putaria tá no arSabe o que causou e vai causar?(O quê?)É que Mister Krabs saiu da caixinhaE decidiu a receita alterarMeteu viagra no hambúrguer de siriPorra, o carangueijo tá nem aí (fudeu)Agora a fenda toda não para na meteçãoTaca dia e noite, day e night, nunca para, irmãoE no furebs, PlanktonAbalo sísmico com somPloc-ploc em alto marHasselhoff pirocãoHasselhoff pirocãoDeu sentido a água-vivaDepois que leitou a Baía da Fenda SunguitaMancha branca em alto marTemporada de caça a água vivaMas não vou caçar com a redeEu vou caçar com a boca abridaAbrida memo, como se fosse minha bundaPorque foi assim que peixe aprendeuNa Fenda da Sunga"
Israel Kamakawiwo'ole,Somewhere Over The Rainbow,"Ooh, ooh, oohOoh, ooh, oohSomewhere over the rainbowWay up highAnd the dreams that you dreamed ofOnce in a lullaby, –by, ohSomewhere over the rainbowBluebirds flyAnd the dreams that you dreamed ofDreams really do come true, oohSomeday I'll wish upon a starWake up where the clouds are far behind meWhere trouble melts like lemon dropsHigh above the chimney tops, that's whereYou'll find me, ohSomewhere over the rainbowBluebirds flyAnd the dream that you dare to, oh, why?Oh, why can't I, I? Oh, someday I'll wish upon a starWake up where the clouds are far behind meWhere trouble melts like lemon dropsHigh above the chimney top, that's whereYou'll find me, ohSomewhere over the rainbowWay up highAnd the dream that you dare to, why?Oh, why can't I, I?Ooh, ooh, oohOoh, ooh, ooh, ah-ah-ah, eh-ahAh-ah-ah-ah-ah, ah-ah"
Jason Mraz,I Won't Give Up,"When I look into your eyesIt's like watching the night skyOr a beautiful sunriseWell, there's so much they holdAnd just like them old starsI see that you've come so farTo be right where you areHow old is your soul?Well, I won't give up on usEven if the skies get roughI'm giving you all my loveI'm still looking upAnd when you're needing your spaceTo do some navigatingI'll be here patiently waitingTo see what you find'Cause even the stars, they burnSome even fall to the EarthWe've got a lot to learnGod knows we're worth itNo, I won't give upI don't wanna be someone who walks away so easilyI'm here to stay and make the difference that I can makeOur differences, they do a lot to teach usHow to use the tools and gifts we got, yeahWe got a lot at stakeAnd in the end, you're still my friendAt least, we did intend for us to workWe didn't break, we didn't burnWe had to learn how to bend without the world caving inI had to learn what I've got and what I'm notAnd who I amI won't give up on usEven if the skies get roughI'm giving you all my loveI'm still looking upI'm still looking upWell, I won't give up on us (no, I'm not giving up)God knows I'm tough enough (I am tough, I am loved)We got a lot to learn (we're alive, we are loved)God knows we're worth it (and we're worth it)I won't give up on usEven if the skies get roughI'm giving you all my loveI'm still looking up"
The Chainsmokers,Something Just Like This (feat. Coldplay),"I've been reading books of oldThe legends and the mythsAchilles and his goldHercules and his giftsSpider-Man's controlAnd Batman with his fistsAnd clearly I don't see myself upon that listBut she said: Where d'you wanna go?How much you wanna risk?I'm not looking for somebody with some superhuman giftsSome superheroSome fairytale blissJust something I can turn toSomebody I can kissI want something just like thisDoo-doo-doo, doo-doo-dooDoo-doo-doo, doo, dooDoo-doo-doo, doo-doo-dooOh, I want something just like thisDoo-doo-doo, doo-doo-dooDoo-doo-doo, doo, dooDoo-doo-doo, doo-doo-dooOh, I want something just like thisI want something just like thisI've been reading books of oldThe legends and the mythsThe testaments they toldThe Moon and its eclipseAnd Superman unrollsA suit before he liftsBut I'm not the kind of person that it fitsShe said: Where d'you wanna go?How much you wanna risk?I'm not looking for somebody with some superhuman giftsSome superheroSome fairytale blissJust something I can turn toSomebody I can missI want something just like thisI want something just like thisOh, I want something just like thisDoo-doo-doo, doo-doo-dooDoo-doo-doo, doo, dooDoo-doo-doo, doo-doo-dooOh, I want something just like thisDoo-doo-doo, doo-doo-dooDoo-doo-doo, doo, dooDoo-doo-doo, doo-doo-dooWhere d'you wanna go?How much you wanna risk?I'm not looking for somebody with some superhuman giftsSome superheroSome fairytale blissJust something I can turn toSomebody I can kissI want something just like thisOh, I want something just like thisOh, I want something just like thisOh, I want something just like this"
Diante do Trono,Aclame ao Senhor,"Oh, ohMeu Jesus, SalvadorOutro igual não háTodos os dias quero louvarAs maravilhas de Teu amorConsolo, abrigoForça e refúgio é o SenhorCom todo o meu serCom tudo o que souSempre Te adorareiAclame ao Senhor, toda a terra e cantemosPoder, majestade e louvores ao ReiMontanhas se prostrem e rujam os maresAo som de Teu nomeAlegre Te louvo por Teus grandes feitosFirmado estarei, sempre Te amareiIncomparáveis são Tuas promessas pra mim, ohMeu Jesus, SalvadorOutro igual não háTodos os dias quero louvarAs maravilhas de Teu amorConsolo, abrigoForça e refúgio é o SenhorCom todo o meu serCom tudo o que souSempre Te adorareiAclame ao Senhor, toda a terra e cantemosPoder, majestade e louvores ao ReiMontanhas se prostrem e rujam os maresAo som de Teu nomeAlegre Te louvo por Teus grandes feitosFirmado estarei, sempre Te amareiIncomparáveis são Tuas promessasAclame ao Senhor, toda a terra e cantemosPoder, majestade e louvores ao ReiMontanhas se prostrem e rujam os maresAo som de Teu nomeAlegre Te louvo por Teus grandes feitosFirmado estarei, sempre Te amarei (Te amarei)Incomparáveis são Tuas promessas (oh, oh, oh)Aclame ao Senhor, toda a terra e cantemosPoder, majestade e louvores ao Rei (louvores ao Rei)Montanhas se prostrem e rujam os maresAo som de Teu nomeAlegre Te louvo por Teus grandes feitosFirmado estarei, sempre Te amarei (sempre Te amarei)Incomparáveis são Tuas promessas (uh, uh)Incomparáveis são Tuas promessasIncomparáveis são Tuas promessasIncomparáveis são Tuas promessasIncomparáveis são Tuas promessasIncomparáveis são Tuas promessasIncomparáveis são Tuas promessas pra mim"
Harpa Cristã,A Última Hora,"Ao findar o labor desta vidaQuando a morte ao teu lado chegarQue destino há de ter tua alma?Qual será no futuro o teu lar?Meu amigo, hoje tu tens a escolhaVida ou morte, qual vais aceitar?Amanhã pode ser muito tardeHoje Cristo te quer libertarTu procuras a paz neste mundoEm prazeres que passam em vãoMas, na última hora da vidaEles não mais te satisfarãoMeu amigo, hoje tu tens a escolhaVida ou morte, qual vais aceitar?Amanhã pode ser muito tardeHoje Cristo te quer libertarPor acaso tu riste, ó amigoQuando ouviste falar de Jesus?Mas somente Jesus pode dar-teSalvação pela morte na cruzMeu amigo, hoje tu tens a escolhaVida ou morte, qual vais aceitar?Amanhã pode ser muito tardeHoje Cristo te quer libertarTens manchada tua alma e não podesContemplar o semblante de DeusSó os cristãos de coração limpoPoderão ter o gozo do céuMeu amigo, hoje tu tens a escolhaVida ou morte, qual vais aceitar?Amanhã pode ser muito tardeHoje Cristo te quer libertarSe decides deixar teus pecadosE entregar tua vida a JesusTrilharás, sim, na última horaUm caminho brilhante de luzMeu amigo, hoje tu tens a escolhaVida ou morte, qual vais aceitar?Amanhã pode ser muito tardeHoje Cristo te quer libertar"
Liniker,ME AJUDE A SALVAR OS DOMINGOS,"De olhos fechados, peço que alguémMe ajude a salvar os domingosDessa ressaca, da malha gastaDo dengo que não vemPalavras dadas, um deus-daráA mira de mirar sossegoDe olhos abertos, eu vi um tremQue me levou pra sonhar longeLá onde cê mora, a léguas daquiDepois pra lá de LondresAonde só neva e não faz calorPra nós, sugiro AcapulcoDaqui a pouco, ao nascer do SolTe buscoOlhe nos olhosVamos brindarO fim do diaPois sem vocêEsse domingo não passaDe olhos fechados, peço que alguémMe ajude a salvar os domingosDessa ressaca, da malha gastaDo dengo que não vemPalavras dadas, um deus-daráA mira de mirar sossegoDe olhos abertos, eu vi um tremQue me levou pra sonhar longeLá onde cê mora, a léguas daquiDepois pra lá de LondresAonde só neva e não faz calorPra nós, sugiro AcapulcoDaqui a pouco, ao nascer do SolTe buscoOlhe nos olhosVamos brindarO fim do diaPois sem vocêEsse domingo não passa(Hum)(Un, deux)(Un, deux)(Un, deux, trois, bae)"
Guns N' Roses,Patience,"One, two, one, two, three, fourShed a tear 'cause I'm missing youI'm still alright to smileGirl, I think about you every day nowWas a time when I wasn't sureBut you set my mind at easeThere is no doubt you're in my heart nowSaid: Woman, take it slowAnd it'll work itself out fineAll we need is just a little patienceSaid: Sugar, make it slowAnd we'll come together fineAll we need is just a little patiencePatienceI sit here on the stairs'Cause I'd rather be aloneIf I can't have you right now I'll wait, dearSometimes I get so tenseBut I can't speed up the timeBut you know, love, there's one more thing to considerSaid: Woman, take it slowAnd things will be just fineYou and I'll just use a little patienceSaid: Sugar, take the time'Cause the lights are shining brightYou and I've got what it takes to make itWe won't fake itI'll never break it'Cause I can take itLittle patienceNeed a little patienceJust a little patienceSome more patienceI've been walking the streets at nightJust trying to get it right (need some patience)It's hard to see with so many aroundYou know, I don't like being stuck in the crowd(Could use some patience)And the streets don't change but, baby, the namesI ain't got time for the game(Gotta have some patience)'Cause I need youBut I need you (all it takes is patience)I need you (just a little patience)I need you (is all you need)This time"
Shirley Carvalhaes,Faraó ou Deus,"Eis o mar, atrás vem FaraóPor que nos trouxe aqui, Moisés, a este lugar?Israel assim lamentou entãoMoisés a Deus clamou e Deus lhe falouPor que clamas a mim? Toca nestas águasO mar se abriu e Israel passouPor que clamas a mim? Toca nestas águasO mar se abriu e Israel passouLá vem faraó, na frente IsraelQuem chegará primeiro? Faraó ou Deus?Lá vem faraó, na frente IsraelQuem chegará primeiro? Faraó ou Deus?Uma coluna de fogo, durante a noiteGuia Israel, os carros de FaraóNo meio do caminho, quebrados paravamIsrael prevalecia, na frente seguiaE a noite pra eles, tornou-se em diaIsrael prevalecia, na frente seguiaE a noite pra eles, tornou-se em diaLá vem Faraó, Faraó morreuIsrael chegou primeiro, o Senhor é DeusLá vem Faraó, Faraó morreuIsrael chegou primeiro, o Senhor é DeusCanta Miriam, o Senhor é DeusCanta mocidade, o Senhor é DeusOs velhos também cantam, o Senhor é DeusCantam as crianças, o Senhor é DeusCanta Israel, o Senhor é DeusUma coluna de fogo, durante a noiteGuia Israel, os carros de FaraóNo meio do caminho, quebrados paravamIsrael prevalecia, na frente seguiaE a noite pra eles, tornou-se em diaIsrael prevalecia, na frente seguiaE a noite pra eles, tornou-se em diaLá vem Faraó, Faraó morreuIsrael chegou primeiro, o Senhor é DeusLá vem Faraó, Faraó morreuIsrael chegou primeiro, o Senhor é DeusCanta Miriam, o Senhor é DeusCanta mocidade, o Senhor é DeusOs velhos também cantam, o Senhor é DeusCantam as crianças, o Senhor é DeusCanta Israel, o Senhor é Deus"
Oasis Ministry,Yahweh Se Manifestará,"(Yahweh, Rafa)(Elohim, Shaddai)(Jireh, Adonai)(Se manifestará)(Yahweh, Rafa)(Elohim, Shaddai)(Jireh, Adonai)(Se manifestará)Se sienteTu gloria en este lugarAlgo grande va a pasarSe activa lo sobrenaturalSe sienteTu gloria en este lugarAlgo grande va a pasarSe activa lo sobrenatural (amén)Yahweh, RafaElohim, ShaddaiJireh, AdonaiSe manifestaráSe sienteTu gloria en este lugarAlgo, algo grande va a pasarSe activa lo sobrenaturalYahweh, RafaElohim, ShaddaiJireh, AdonaiSe manifestaráYahweh, RafaElohim, ShaddaiJireh, AdonaiSe manifestaráYahweh, RafaElohim, Shaddai, Shaddai, ShaddaiJireh, AdonaiSe manifestaráAleluya, aleluyaCuando llegó el día del PentecostesEstaban todos juntos, unánimesComo estamos todos en este momentoY de repente, se escuchó en el cieloUn viento recio que soplaba en la TierraEl cual llenó toda la casa donde estaban sentadosGloria a Dios, ehY se les aparecieron lenguas como de fuegoY fueron repartidas sobre cada uno de ellosY todos fueron llenosTodos fueron llenos del Espíritu Santo de DiosY Espíritu Santo les entregó nuevas lenguasNuevas lenguas de fuegoCon volver, lo que el Espíritu les daba que hablasenAleluya (aleluya)Y en este momentoEl mismo viento que sopló aquella vezSopla en este momento acáMientras tú Le adoras, Él se va a manifestarMientras tú Le llames, Él se va a manifestarMientrasSi Le llamas, Él se manifiestaSi Le buscas, Él se manifiestaLlámale, llámale, llámale, llámaleSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestará(¡Él se está manifestando!)Yahweh se manifestaráJireh se manifestaráRafa se manifestaráSe manifestaráYahweh se manifestaráJireh se manifestaráRafa se manifestaráSe manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestará(Si Le adoras, Él se manifestará)(Si Le llamas, Él se manifestará)(Si Le buscas, Él se manifestará)Si Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestará(No importa tu situación, tu condición)(En esta hora, si Le adoras, Él se manifiesta)Si Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestará(Aleluya, aleluya, aleluya)Si Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestará(¡Él se está manifestando!)Si Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráSi Le adoras, Él se manifestaráSi Le llamas, Él se manifestaráSi Le buscas, Él se manifestaráYahweh se manifestaráJireh se manifestaráRafa se manifestaráSe manifestaráYahweh se manifestaráJireh se manifestaráRafa se manifestaráSe manifestaráYahwehRafaElohimShaddaiJirehAdonaiSe manifestará"
